"ITTER107","Territorio","TIPO_DATO7","Indicatore","CORREZ","Correzione","ATECO_2007","Ateco 2007","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2003-02","Feb-2003",125.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2003-03","Mar-2003",138.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2003-04","Apr-2003",125.5,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2003-05","Mag-2003",132.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2003-06","Giu-2003",131,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2003-07","Lug-2003",141.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2003-08","Ago-2003",60.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2003-09","Set-2003",133.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2003-10","Ott-2003",138.5,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2003-11","Nov-2003",134.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2003-12","Dic-2003",113.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-01","Gen-2004",115.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-02","Feb-2004",127.5,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-03","Mar-2004",136.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-04","Apr-2004",125.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-05","Mag-2004",136.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-06","Giu-2004",132.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-07","Lug-2004",140.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-08","Ago-2004",61.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-09","Set-2004",134.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-10","Ott-2004",139.5,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-11","Nov-2004",129.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2004-12","Dic-2004",108.5,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-01","Gen-2005",112.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-02","Feb-2005",123.5,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-03","Mar-2005",133.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-04","Apr-2005",123.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-05","Mag-2005",131.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-06","Giu-2005",127.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-07","Lug-2005",138.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-08","Ago-2005",64.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-09","Set-2005",132.5,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-10","Ott-2005",137,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-11","Nov-2005",131.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2005-12","Dic-2005",110.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-01","Gen-2006",112.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-02","Feb-2006",127,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-03","Mar-2006",138.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-04","Apr-2006",124.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-05","Mag-2006",138.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-06","Giu-2006",134.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-07","Lug-2006",141.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-08","Ago-2006",68.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-09","Set-2006",138.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-10","Ott-2006",142.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-11","Nov-2006",135.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-12","Dic-2006",118.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-01","Gen-2007",119.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-02","Feb-2007",132.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-03","Mar-2007",144.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-04","Apr-2007",127.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-05","Mag-2007",141.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-06","Giu-2007",136.7,,
